Phone1,Phone2,Count,CosineSimilarity_tamil_word2vec_,ClosestPhone_tamil_word2vec_,MaxSimilarity_tamil_word2vec_,CosineSimilarity_telugu_word2vec_,ClosestPhone_telugu_word2vec_,MaxSimilarity_telugu_word2vec_,CosineSimilarity_hindi_word2vec_,ClosestPhone_hindi_word2vec_,MaxSimilarity_hindi_word2vec_,CosineSimilarity_cmu_word2vec_,ClosestPhone_cmu_word2vec_,MaxSimilarity_cmu_word2vec_
AO,AA,541,0.3700000047683716,SH,0.5600000023841858,-0.05000000074505806,NG,0.49000000953674316,-0.18000000715255737,OW,0.5600000023841858,0.38999998569488525,UH,0.5299999713897705
EH,EY,848,0.5699999928474426,OW,0.7099999785423279,0.23000000417232513,AW,0.7900000214576721,-0.1899999976158142,N,0.3100000023841858,0.1599999964237213,AA,0.47999998927116394
-,T,48,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
AA,-,1112,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
Y,AY,39,-0.49000000953674316,UX,0.3499999940395355,0.3100000023841858,SH,0.8500000238418579,0.23000000417232513,B_HH,0.5099999904632568,0.05000000074505806,ZH,0.6100000143051147
IY,AH,492,0.4000000059604645,DH,0.49000000953674316,0.5299999713897705,AH,0.5299999713897705,0.3700000047683716,AH,0.3700000047683716,0.15000000596046448,B,0.6100000143051147
IY,IH,2639,0.07000000029802322,DH,0.49000000953674316,0.27000001072883606,AH,0.5299999713897705,0.14000000059604645,AH,0.3700000047683716,0.09000000357627869,B,0.6100000143051147
IY,AY,689,0.4300000071525574,DH,0.49000000953674316,0.18000000715255737,AH,0.5299999713897705,0.2800000011920929,AH,0.3700000047683716,0.1599999964237213,B,0.6100000143051147
D,T,116,0.23000000417232513,R,0.4399999976158142,0.27000001072883606,N_JH,0.46000000834465027,0.3199999928474426,M,0.5699999928474426,0.75,T,0.75
T,-,385,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
SH,CH,237,0.23000000417232513,F,0.5799999833106995,0.20000000298023224,Y,0.8500000238418579,0.14000000059604645,S,0.5699999928474426,0.46000000834465027,ZH,0.6899999976158142
AH,R,29,-0.23999999463558197,UW,0.5099999904632568,-0.27000001072883606,IY,0.5299999713897705,-0.17000000178813934,AA,0.699999988079071,0.25999999046325684,IH,0.41999998688697815
AH,-,902,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,ER,1019,0.0,ZH,0.5099999904632568,0.0,Y,0.6499999761581421,0.0,N,0.49000000953674316,0.44999998807907104,L,0.5799999833106995
OW,UH,17,0.5600000023841858,EH,0.7099999785423279,0.10000000149011612,EH,0.6200000047683716,0.5,AO,0.5600000023841858,0.05999999865889549,AA,0.6600000262260437
EH,IH,224,-0.10000000149011612,OW,0.7099999785423279,-0.3100000023841858,AW,0.7900000214576721,-0.3199999928474426,N,0.3100000023841858,0.17000000178813934,AA,0.47999998927116394
S,-,43,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
OW,-,29,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
N,-,38,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
IY,-,305,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
T,IH,43,0.1899999976158142,UH,0.4699999988079071,0.18000000715255737,DH,0.6499999761581421,-0.44999998807907104,K,0.6800000071525574,0.17000000178813934,D,0.75
D,DH,1095,-0.18000000715255737,R,0.4399999976158142,0.11999999731779099,N_JH,0.46000000834465027,0.5099999904632568,M,0.5699999928474426,0.5199999809265137,T,0.75
AA,AY,45,0.5,AY,0.5,-0.17000000178813934,N_JH,0.4300000071525574,0.11999999731779099,AH,0.699999988079071,-0.2199999988079071,OW,0.6600000262260437
Y,AH,2,0.17000000178813934,UX,0.3499999940395355,-0.25,SH,0.8500000238418579,-0.18000000715255737,B_HH,0.5099999904632568,0.05999999865889549,ZH,0.6100000143051147
AH,IH,65,0.07999999821186066,UW,0.5099999904632568,0.1599999964237213,IY,0.5299999713897705,0.49000000953674316,AA,0.699999988079071,0.41999998688697815,IH,0.41999998688697815
OW,AO,124,-0.0,EH,0.7099999785423279,-0.20000000298023224,EH,0.6200000047683716,0.5600000023841858,AO,0.5600000023841858,0.0,AA,0.6600000262260437
IY,EH,30,-0.14000000059604645,DH,0.49000000953674316,0.10999999940395355,AH,0.5299999713897705,-0.20999999344348907,AH,0.3700000047683716,0.18000000715255737,B,0.6100000143051147
AE,AH,282,0.07999999821186066,N,0.4000000059604645,0.009999999776482582,G,0.47999998927116394,-0.15000000596046448,HH,0.6100000143051147,0.10000000149011612,Z,0.3499999940395355
B,-,35,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
D,-,334,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
ZH,JH,258,0.0,R,0.5099999904632568,0.0,CH,0.9100000262260437,0.0,L,0.44999998807907104,0.7900000214576721,JH,0.7900000214576721
Y,-,153,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
EH,-,169,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
D,AH,54,-0.4099999964237213,R,0.4399999976158142,-0.1599999964237213,N_JH,0.46000000834465027,-0.41999998688697815,M,0.5699999928474426,0.10000000149011612,T,0.75
