Phone1,Phone2,Count,CosineSimilarity_tamil_word2vec_,ClosestPhone_tamil_word2vec_,MaxSimilarity_tamil_word2vec_,CosineSimilarity_telugu_word2vec_,ClosestPhone_telugu_word2vec_,MaxSimilarity_telugu_word2vec_,CosineSimilarity_hindi_word2vec_,ClosestPhone_hindi_word2vec_,MaxSimilarity_hindi_word2vec_,CosineSimilarity_cmu_word2vec_,ClosestPhone_cmu_word2vec_,MaxSimilarity_cmu_word2vec_
EH,EY,627,0.5699999928474426,OW,0.7099999785423279,0.23000000417232513,AW,0.7900000214576721,-0.1899999976158142,N,0.3100000023841858,0.1599999964237213,AA,0.47999998927116394
IY,-,168,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
T,IH,35,0.1899999976158142,UH,0.4699999988079071,0.18000000715255737,DH,0.6499999761581421,-0.44999998807907104,K,0.6800000071525574,0.17000000178813934,D,0.75
AA,TH,11,0.019999999552965164,AY,0.5,0.23000000417232513,N_JH,0.4300000071525574,-0.36000001430511475,AH,0.699999988079071,0.15000000596046448,OW,0.6600000262260437
UW,AW,187,0.09000000357627869,AH,0.5099999904632568,0.25999999046325684,AE,0.3499999940395355,-0.18000000715255737,AH,0.5699999928474426,-0.23000000417232513,UH,0.5799999833106995
EH,IH,179,-0.10000000149011612,OW,0.7099999785423279,-0.3100000023841858,AW,0.7900000214576721,-0.3199999928474426,N,0.3100000023841858,0.17000000178813934,AA,0.47999998927116394
IY,IH,2044,0.07000000029802322,DH,0.49000000953674316,0.27000001072883606,AH,0.5299999713897705,0.14000000059604645,AH,0.3700000047683716,0.09000000357627869,B,0.6100000143051147
D,DH,810,-0.18000000715255737,R,0.4399999976158142,0.11999999731779099,N_JH,0.46000000834465027,0.5099999904632568,M,0.5699999928474426,0.5199999809265137,T,0.75
IY,AH,412,0.4000000059604645,DH,0.49000000953674316,0.5299999713897705,AH,0.5299999713897705,0.3700000047683716,AH,0.3700000047683716,0.15000000596046448,B,0.6100000143051147
AH,ER,198,0.0,UW,0.5099999904632568,0.0,IY,0.5299999713897705,0.0,AA,0.699999988079071,0.3100000023841858,IH,0.41999998688697815
AO,AA,408,0.3700000047683716,SH,0.5600000023841858,-0.05000000074505806,NG,0.49000000953674316,-0.18000000715255737,OW,0.5600000023841858,0.38999998569488525,UH,0.5299999713897705
AA,-,852,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
IY,AY,586,0.4300000071525574,DH,0.49000000953674316,0.18000000715255737,AH,0.5299999713897705,0.2800000011920929,AH,0.3700000047683716,0.1599999964237213,B,0.6100000143051147
AE,AH,247,0.07999999821186066,N,0.4000000059604645,0.009999999776482582,G,0.47999998927116394,-0.15000000596046448,HH,0.6100000143051147,0.10000000149011612,Z,0.3499999940395355
T,CH,11,0.36000001430511475,UH,0.4699999988079071,0.30000001192092896,DH,0.6499999761581421,0.3400000035762787,K,0.6800000071525574,0.5899999737739563,D,0.75
SH,T,6,0.18000000715255737,F,0.5799999833106995,0.2199999988079071,Y,0.8500000238418579,0.3199999928474426,S,0.5699999928474426,0.6200000047683716,ZH,0.6899999976158142
Z,S,66,0.3799999952316284,G,0.7900000214576721,0.12999999523162842,G_HH,0.7599999904632568,0.10000000149011612,ZH,0.44999998807907104,0.05999999865889549,G,0.5199999809265137
EH,AH,748,-0.12999999523162842,OW,0.7099999785423279,0.12999999523162842,AW,0.7900000214576721,-0.5299999713897705,N,0.3100000023841858,-0.05000000074505806,AA,0.47999998927116394
S,Z,475,0.3799999952316284,CH,0.6399999856948853,0.12999999523162842,NG,0.5600000023841858,0.10000000149011612,SH,0.5699999928474426,0.05999999865889549,CH,0.5099999904632568
D,IH,21,0.019999999552965164,R,0.4399999976158142,0.019999999552965164,N_JH,0.46000000834465027,-0.07000000029802322,M,0.5699999928474426,0.18000000715255737,T,0.75
-,D,53,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
SH,S,14,0.07000000029802322,F,0.5799999833106995,0.3700000047683716,Y,0.8500000238418579,0.5699999928474426,S,0.5699999928474426,0.4099999964237213,ZH,0.6899999976158142
D,-,229,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
ZH,JH,185,0.0,R,0.5099999904632568,0.0,CH,0.9100000262260437,0.0,L,0.44999998807907104,0.7900000214576721,JH,0.7900000214576721
AO,-,101,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
Y,OY,17,0.0,UX,0.3499999940395355,0.0,SH,0.8500000238418579,0.0,B_HH,0.5099999904632568,0.4399999976158142,ZH,0.6100000143051147
K,-,14,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,-,83,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
T,-,246,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
AH,-,685,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,ER,794,0.0,ZH,0.5099999904632568,0.0,Y,0.6499999761581421,0.0,N,0.49000000953674316,0.44999998807907104,L,0.5799999833106995
D,T,77,0.23000000417232513,R,0.4399999976158142,0.27000001072883606,N_JH,0.46000000834465027,0.3199999928474426,M,0.5699999928474426,0.75,T,0.75
UW,UH,154,0.30000001192092896,AH,0.5099999904632568,0.25,AE,0.3499999940395355,0.5299999713897705,AH,0.5699999928474426,0.5799999833106995,UH,0.5799999833106995
AO,AH,291,-0.09000000357627869,SH,0.5600000023841858,-0.14000000059604645,NG,0.49000000953674316,-0.18000000715255737,OW,0.5600000023841858,-0.11999999731779099,UH,0.5299999713897705
IY,ER,3,0.0,DH,0.49000000953674316,0.0,AH,0.5299999713897705,0.0,AH,0.3700000047683716,-0.009999999776482582,B,0.6100000143051147
AH,AA,106,0.38999998569488525,UW,0.5099999904632568,0.3499999940395355,IY,0.5299999713897705,0.699999988079071,AA,0.699999988079071,0.20000000298023224,IH,0.41999998688697815
OW,AH,66,-0.11999999731779099,EH,0.7099999785423279,0.1599999964237213,EH,0.6200000047683716,0.28999999165534973,AO,0.5600000023841858,0.3100000023841858,AA,0.6600000262260437
F,V,194,0.25,HH,0.8799999952316284,0.12999999523162842,CH,0.9200000166893005,0.03999999910593033,AO,0.4300000071525574,0.38999998569488525,B,0.7799999713897705
-,EH,14,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
SH,CH,166,0.23000000417232513,F,0.5799999833106995,0.20000000298023224,Y,0.8500000238418579,0.14000000059604645,S,0.5699999928474426,0.46000000834465027,ZH,0.6899999976158142
Y,-,96,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
AH,AY,22,0.05999999865889549,UW,0.5099999904632568,0.05000000074505806,IY,0.5299999713897705,-0.029999999329447746,AA,0.699999988079071,-0.5400000214576721,IH,0.41999998688697815
AA,AH,64,0.38999998569488525,AY,0.5,0.3499999940395355,N_JH,0.4300000071525574,0.699999988079071,AH,0.699999988079071,0.20000000298023224,OW,0.6600000262260437
M,-,7,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
G,-,12,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
AH,TH,15,-0.11999999731779099,UW,0.5099999904632568,-0.10999999940395355,IY,0.5299999713897705,-0.20000000298023224,AA,0.699999988079071,0.07000000029802322,IH,0.41999998688697815
EH,OY,38,0.0,OW,0.7099999785423279,0.0,AW,0.7900000214576721,0.0,N,0.3100000023841858,0.09000000357627869,AA,0.47999998927116394
HH,TH,58,0.1899999976158142,F,0.8799999952316284,0.46000000834465027,B_HH,0.7699999809265137,0.10000000149011612,AE,0.6100000143051147,0.5799999833106995,K,0.6800000071525574
AA,AW,18,0.1899999976158142,AY,0.5,0.18000000715255737,N_JH,0.4300000071525574,0.41999998688697815,AH,0.699999988079071,-0.23999999463558197,OW,0.6600000262260437
-,IH,31,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
AA,AO,15,0.3700000047683716,AY,0.5,-0.05000000074505806,N_JH,0.4300000071525574,-0.18000000715255737,AH,0.699999988079071,0.38999998569488525,OW,0.6600000262260437
OW,AO,86,-0.0,EH,0.7099999785423279,-0.20000000298023224,EH,0.6200000047683716,0.5600000023841858,AO,0.5600000023841858,0.0,AA,0.6600000262260437
IY,EH,33,-0.14000000059604645,DH,0.49000000953674316,0.10999999940395355,AH,0.5299999713897705,-0.20999999344348907,AH,0.3700000047683716,0.18000000715255737,B,0.6100000143051147
AH,IH,41,0.07999999821186066,UW,0.5099999904632568,0.1599999964237213,IY,0.5299999713897705,0.49000000953674316,AA,0.699999988079071,0.41999998688697815,IH,0.41999998688697815
OW,-,22,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
V,-,7,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,T,2,0.25999999046325684,ZH,0.5099999904632568,0.4300000071525574,Y,0.6499999761581421,0.029999999329447746,N,0.49000000953674316,0.10000000149011612,L,0.5799999833106995
AH,DH,55,0.3700000047683716,UW,0.5099999904632568,-0.30000001192092896,IY,0.5299999713897705,-0.05000000074505806,AA,0.699999988079071,-0.09000000357627869,IH,0.41999998688697815
EH,AE,23,0.25999999046325684,OW,0.7099999785423279,-0.10999999940395355,AW,0.7900000214576721,0.2199999988079071,N,0.3100000023841858,0.30000001192092896,AA,0.47999998927116394
R,CH,2,0.25,ZH,0.5099999904632568,0.2800000011920929,Y,0.6499999761581421,0.38999998569488525,N,0.49000000953674316,0.23000000417232513,L,0.5799999833106995
T,AH,6,-0.1899999976158142,UH,0.4699999988079071,-0.5699999928474426,DH,0.6499999761581421,-0.4699999988079071,K,0.6800000071525574,0.09000000357627869,D,0.75
EH,ER,14,0.0,OW,0.7099999785423279,0.0,AW,0.7900000214576721,0.0,N,0.3100000023841858,-0.11999999731779099,AA,0.47999998927116394
S,-,24,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
D,R,11,0.4399999976158142,R,0.4399999976158142,0.10999999940395355,N_JH,0.46000000834465027,0.20000000298023224,M,0.5699999928474426,0.1899999976158142,T,0.75
AH,D,3,-0.4099999964237213,UW,0.5099999904632568,-0.1599999964237213,IY,0.5299999713897705,-0.41999998688697815,AA,0.699999988079071,0.10000000149011612,IH,0.41999998688697815
P,F,2,-0.3799999952316284,UH,0.5099999904632568,0.07000000029802322,L,0.5,0.11999999731779099,V,0.4399999976158142,0.6499999761581421,B,0.800000011920929
L,-,13,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
-,L,3,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
-,AA,10,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
-,JH,2,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
IY,N,6,-0.03999999910593033,DH,0.49000000953674316,-0.28999999165534973,AH,0.5299999713897705,-0.14000000059604645,AH,0.3700000047683716,0.1599999964237213,B,0.6100000143051147
NG,Z,1,-0.25999999046325684,M,0.41999998688697815,0.029999999329447746,D_DH,0.75,0.3499999940395355,T_TH,0.41999998688697815,0.009999999776482582,W,0.4000000059604645
EH,IY,24,-0.14000000059604645,OW,0.7099999785423279,0.10999999940395355,AW,0.7900000214576721,-0.20999999344348907,N,0.3100000023841858,0.18000000715255737,AA,0.47999998927116394
EH,-,136,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
SH,AH,8,0.09000000357627869,F,0.5799999833106995,-0.009999999776482582,Y,0.8500000238418579,-0.14000000059604645,S,0.5699999928474426,-0.009999999776482582,ZH,0.6899999976158142
Y,CH,2,0.25,UX,0.3499999940395355,0.30000001192092896,SH,0.8500000238418579,0.20999999344348907,B_HH,0.5099999904632568,0.3499999940395355,ZH,0.6100000143051147
OW,UH,14,0.5600000023841858,EH,0.7099999785423279,0.10000000149011612,EH,0.6200000047683716,0.5,AO,0.5600000023841858,0.05999999865889549,AA,0.6600000262260437
-,AO,16,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
OW,R,13,-0.07999999821186066,EH,0.7099999785423279,-0.20000000298023224,EH,0.6200000047683716,-0.18000000715255737,AO,0.5600000023841858,0.4300000071525574,AA,0.6600000262260437
T,DH,51,-0.07999999821186066,UH,0.4699999988079071,0.6499999761581421,DH,0.6499999761581421,0.15000000596046448,K,0.6800000071525574,0.6000000238418579,D,0.75
HH,-,32,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
