Phone1,Phone2,Count,CosineSimilarity_tamil_word2vec_,ClosestPhone_tamil_word2vec_,MaxSimilarity_tamil_word2vec_,CosineSimilarity_telugu_word2vec_,ClosestPhone_telugu_word2vec_,MaxSimilarity_telugu_word2vec_,CosineSimilarity_hindi_word2vec_,ClosestPhone_hindi_word2vec_,MaxSimilarity_hindi_word2vec_,CosineSimilarity_cmu_word2vec_,ClosestPhone_cmu_word2vec_,MaxSimilarity_cmu_word2vec_
AO,AA,541,-0.05999999865889549,T,0.5400000214576721,-0.14000000059604645,NG,0.44999998807907104,-0.1599999964237213,EY,0.6000000238418579,0.5299999713897705,UH,0.6800000071525574
EH,EY,848,0.6100000143051147,OW,0.6800000071525574,0.2199999988079071,AW,0.7699999809265137,0.11999999731779099,AA,0.4000000059604645,0.38999998569488525,AA,0.699999988079071
-,T,48,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
AA,-,1112,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
Y,AY,39,-0.5199999809265137,UX,0.36000001430511475,0.3100000023841858,SH,0.8700000047683716,0.09000000357627869,B_HH,0.5699999928474426,-0.09000000357627869,ZH,0.36000001430511475
IY,AH,492,0.49000000953674316,AY,0.550000011920929,0.5899999737739563,AH,0.5899999737739563,0.30000001192092896,K_HH,0.41999998688697815,0.3499999940395355,OW,0.7300000190734863
IY,IH,2639,0.05999999865889549,AY,0.550000011920929,0.2199999988079071,AH,0.5899999737739563,0.12999999523162842,K_HH,0.41999998688697815,0.23999999463558197,OW,0.7300000190734863
IY,AY,689,0.550000011920929,AY,0.550000011920929,0.18000000715255737,AH,0.5899999737739563,0.3100000023841858,K_HH,0.41999998688697815,0.33000001311302185,OW,0.7300000190734863
D,T,116,0.28999999165534973,R,0.4099999964237213,0.07000000029802322,R_IH,0.3700000047683716,0.33000001311302185,M,0.6200000047683716,0.3199999928474426,Z,0.41999998688697815
T,-,385,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
SH,CH,237,0.05000000074505806,R,0.6200000047683716,0.12999999523162842,Y,0.8700000047683716,0.28999999165534973,S,0.550000011920929,0.17000000178813934,ZH,0.6899999976158142
AH,R,29,-0.20999999344348907,IY,0.49000000953674316,-0.10000000149011612,IY,0.5899999737739563,-0.3400000035762787,AA,0.6800000071525574,0.3199999928474426,ER,0.5699999928474426
AH,-,902,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,ER,1019,0.0,SH,0.6200000047683716,0.0,Y,0.6800000071525574,0.0,N,0.47999998927116394,0.3700000047683716,L,0.5099999904632568
OW,UH,17,0.5299999713897705,EH,0.6800000071525574,0.10000000149011612,EH,0.6200000047683716,0.41999998688697815,AO,0.550000011920929,0.30000001192092896,AA,0.800000011920929
