Phone1,Phone2,Count,CosineSimilarity_tamil_word2vec_,ClosestPhone_tamil_word2vec_,MaxSimilarity_tamil_word2vec_,CosineSimilarity_telugu_word2vec_,ClosestPhone_telugu_word2vec_,MaxSimilarity_telugu_word2vec_,CosineSimilarity_hindi_word2vec_,ClosestPhone_hindi_word2vec_,MaxSimilarity_hindi_word2vec_,CosineSimilarity_cmu_word2vec_,ClosestPhone_cmu_word2vec_,MaxSimilarity_cmu_word2vec_
T,CH,16,0.12999999523162842,AO,0.5400000214576721,0.3499999940395355,DH,0.6399999856948853,0.38999998569488525,TH,0.5899999737739563,0.23000000417232513,D,0.3199999928474426
SH,IH,8,-0.03999999910593033,R,0.6200000047683716,0.5099999904632568,Y,0.8700000047683716,-0.47999998927116394,S,0.550000011920929,-0.05999999865889549,ZH,0.6899999976158142
IY,L,8,-0.17000000178813934,AY,0.550000011920929,-0.2800000011920929,AH,0.5899999737739563,-0.36000001430511475,K_HH,0.41999998688697815,-0.20999999344348907,OW,0.7300000190734863
L,D,7,0.3799999952316284,M,0.49000000953674316,0.23999999463558197,P,0.47999998927116394,0.4699999988079071,D,0.4699999988079071,-0.18000000715255737,N,0.5299999713897705
EH,AH,752,-0.09000000357627869,OW,0.6800000071525574,0.05000000074505806,AW,0.7699999809265137,0.3199999928474426,AA,0.4000000059604645,0.10999999940395355,AA,0.699999988079071
UW,UH,194,0.38999998569488525,AA,0.550000011920929,0.30000001192092896,UH,0.30000001192092896,0.47999998927116394,AH,0.5400000214576721,0.4699999988079071,UH,0.4699999988079071
AO,-,107,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
EH,OY,54,0.0,OW,0.6800000071525574,0.0,AW,0.7699999809265137,0.0,AA,0.4000000059604645,0.49000000953674316,AA,0.699999988079071
EH,IH,206,-0.07000000029802322,OW,0.6800000071525574,-0.33000001311302185,AW,0.7699999809265137,0.25,AA,0.4000000059604645,0.3499999940395355,AA,0.699999988079071
AH,-,648,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,ER,773,0.0,SH,0.6200000047683716,0.0,Y,0.6800000071525574,0.0,N,0.47999998927116394,0.3700000047683716,L,0.5099999904632568
EH,-,143,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
D,-,242,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
ZH,EY,5,0.1599999964237213,R,0.46000000834465027,0.11999999731779099,CH,0.9100000262260437,0.029999999329447746,Z,0.5199999809265137,0.019999999552965164,SH,0.6899999976158142
