Phone1,Phone2,Count,CosineSimilarity_tamil_word2vec_,ClosestPhone_tamil_word2vec_,MaxSimilarity_tamil_word2vec_,CosineSimilarity_telugu_word2vec_,ClosestPhone_telugu_word2vec_,MaxSimilarity_telugu_word2vec_,CosineSimilarity_hindi_word2vec_,ClosestPhone_hindi_word2vec_,MaxSimilarity_hindi_word2vec_,CosineSimilarity_cmu_word2vec_,ClosestPhone_cmu_word2vec_,MaxSimilarity_cmu_word2vec_
AO,AA,541,-0.49000000953674316,CH,0.46000000834465027,0.5199999809265137,AA,0.5199999809265137,0.009999999776482582,OW,0.5199999809265137,0.4399999976158142,EH,0.49000000953674316
EH,EY,848,0.699999988079071,OW,0.75,0.3499999940395355,AW,0.8199999928474426,-0.30000001192092896,N,0.5600000023841858,0.1599999964237213,AO,0.49000000953674316
-,T,48,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
AA,-,1112,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
Y,AY,39,-0.3400000035762787,D,0.5099999904632568,0.20999999344348907,SH,0.7799999713897705,0.20999999344348907,B_HH,0.5299999713897705,0.1599999964237213,ZH,0.6299999952316284
IY,AH,492,0.699999988079071,AH,0.699999988079071,0.6800000071525574,AH,0.6800000071525574,0.47999998927116394,AA,0.49000000953674316,0.09000000357627869,OW,0.75
IY,IH,2639,0.10000000149011612,AH,0.699999988079071,0.4399999976158142,AH,0.6800000071525574,0.4399999976158142,AA,0.49000000953674316,0.20999999344348907,OW,0.75
IY,AY,689,0.6000000238418579,AH,0.699999988079071,0.009999999776482582,AH,0.6800000071525574,0.3700000047683716,AA,0.49000000953674316,0.28999999165534973,OW,0.75
D,T,116,0.20000000298023224,Y,0.5099999904632568,-0.07999999821186066,UX,0.44999998807907104,0.4399999976158142,DH,0.6600000262260437,0.8100000023841858,T,0.8100000023841858
T,-,385,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
