Phone1,Phone2,Count,CosineSimilarity_tamil_word2vec_,ClosestPhone_tamil_word2vec_,MaxSimilarity_tamil_word2vec_,CosineSimilarity_telugu_word2vec_,ClosestPhone_telugu_word2vec_,MaxSimilarity_telugu_word2vec_,CosineSimilarity_hindi_word2vec_,ClosestPhone_hindi_word2vec_,MaxSimilarity_hindi_word2vec_,CosineSimilarity_cmu_word2vec_,ClosestPhone_cmu_word2vec_,MaxSimilarity_cmu_word2vec_
T,CH,16,0.1599999964237213,B,0.4300000071525574,0.38999998569488525,HH,0.5799999833106995,0.18000000715255737,K,0.7599999904632568,0.5799999833106995,D,0.8100000023841858
SH,IH,8,-0.23000000417232513,F,0.5699999928474426,0.30000001192092896,Y,0.7799999713897705,-0.3499999940395355,S,0.5,0.20000000298023224,ZH,0.7200000286102295
IY,L,8,-0.14000000059604645,AH,0.699999988079071,-0.27000001072883606,AH,0.6800000071525574,-0.3199999928474426,AA,0.49000000953674316,-0.03999999910593033,OW,0.75
L,D,7,0.23999999463558197,T_TH,0.44999998807907104,-0.019999999552965164,K_HH,0.41999998688697815,0.4399999976158142,N,0.5699999928474426,0.28999999165534973,N,0.6800000071525574
EH,AH,752,-0.009999999776482582,OW,0.75,0.14000000059604645,AW,0.8199999928474426,-0.23000000417232513,N,0.5600000023841858,-0.11999999731779099,AO,0.49000000953674316
UW,UH,194,0.47999998927116394,IY,0.5899999737739563,0.30000001192092896,OW,0.46000000834465027,0.4699999988079071,UX,0.6100000143051147,0.5600000023841858,UH,0.5600000023841858
AO,-,107,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
EH,OY,54,0.0,OW,0.75,0.0,AW,0.8199999928474426,0.0,N,0.5600000023841858,0.009999999776482582,AO,0.49000000953674316
EH,IH,206,-0.029999999329447746,OW,0.75,-0.10000000149011612,AW,0.8199999928474426,0.10999999940395355,N,0.5600000023841858,-0.15000000596046448,AO,0.49000000953674316
AH,-,648,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,ER,773,0.0,ZH,0.5400000214576721,0.0,Y,0.6700000166893005,0.0,N,0.5400000214576721,0.5099999904632568,W,0.5699999928474426
EH,-,143,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
D,-,242,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
ZH,EY,5,-0.25,R,0.5400000214576721,-0.05999999865889549,CH,0.9300000071525574,-0.10999999940395355,Z,0.6000000238418579,0.11999999731779099,JH,0.75
IY,JH,7,0.0,AH,0.699999988079071,0.0,AH,0.6800000071525574,0.0,AA,0.49000000953674316,0.49000000953674316,OW,0.75
IY,IH,2356,0.10000000149011612,AH,0.699999988079071,0.4399999976158142,AH,0.6800000071525574,0.4399999976158142,AA,0.49000000953674316,0.20999999344348907,OW,0.75
S,Z,560,0.41999998688697815,G,0.5099999904632568,0.05000000074505806,Y,0.5299999713897705,0.20999999344348907,T,0.6200000047683716,0.12999999523162842,M,0.5799999833106995
AA,-,865,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
IY,AY,585,0.6000000238418579,AH,0.699999988079071,0.009999999776482582,AH,0.6800000071525574,0.3700000047683716,AA,0.49000000953674316,0.28999999165534973,OW,0.75
AE,EH,32,0.25,TH,0.36000001430511475,0.07000000029802322,K_HH,0.3199999928474426,-0.10000000149011612,HH,0.5400000214576721,0.38999998569488525,EH,0.38999998569488525
D,DH,905,-0.03999999910593033,Y,0.5099999904632568,-0.23000000417232513,UX,0.44999998807907104,0.6600000262260437,DH,0.6600000262260437,0.5799999833106995,T,0.8100000023841858
IY,AH,509,0.699999988079071,AH,0.699999988079071,0.6800000071525574,AH,0.6800000071525574,0.47999998927116394,AA,0.49000000953674316,0.09000000357627869,OW,0.75
D,AH,37,-0.3400000035762787,Y,0.5099999904632568,0.05000000074505806,UX,0.44999998807907104,-0.3499999940395355,DH,0.6600000262260437,0.07000000029802322,T,0.8100000023841858
ZH,JH,206,0.0,R,0.5400000214576721,0.0,CH,0.9300000071525574,0.0,Z,0.6000000238418579,0.75,JH,0.75
AA,AE,111,0.07999999821186066,AY,0.6600000262260437,-0.5099999904632568,AH,0.5400000214576721,0.10999999940395355,AH,0.6499999761581421,-0.05000000074505806,OW,0.6700000166893005
AH,ER,324,0.0,IY,0.699999988079071,0.0,IY,0.6800000071525574,0.0,AA,0.6499999761581421,0.3199999928474426,IH,0.4000000059604645
IY,-,172,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
-,R,76,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
-,S,19,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
-,EH,16,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
EH,EY,750,0.699999988079071,OW,0.75,0.3499999940395355,AW,0.8199999928474426,-0.30000001192092896,N,0.5600000023841858,0.1599999964237213,AO,0.49000000953674316
T,-,251,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
HH,TH,62,0.17000000178813934,F,0.8399999737739563,0.5199999809265137,B_HH,0.8700000047683716,0.25,AE,0.5400000214576721,0.5799999833106995,K,0.7099999785423279
AO,AA,506,-0.49000000953674316,CH,0.46000000834465027,0.5199999809265137,AA,0.5199999809265137,0.009999999776482582,OW,0.5199999809265137,0.4399999976158142,EH,0.49000000953674316
AH,IH,39,0.10000000149011612,IY,0.699999988079071,0.36000001430511475,IY,0.6800000071525574,0.5899999737739563,AA,0.6499999761581421,0.4000000059604645,IH,0.4000000059604645
AE,AH,257,0.1899999976158142,TH,0.36000001430511475,-0.4699999988079071,K_HH,0.3199999928474426,0.03999999910593033,HH,0.5400000214576721,0.17000000178813934,EH,0.38999998569488525
AA,AH,70,0.550000011920929,AY,0.6600000262260437,0.5400000214576721,AH,0.5400000214576721,0.6499999761581421,AH,0.6499999761581421,0.03999999910593033,OW,0.6700000166893005
UW,AH,95,0.5099999904632568,IY,0.5899999737739563,0.44999998807907104,OW,0.46000000834465027,0.5899999737739563,UX,0.6100000143051147,0.4000000059604645,UH,0.5600000023841858
OW,AO,86,-0.009999999776482582,EH,0.75,-0.07999999821186066,EH,0.5199999809265137,0.5199999809265137,UH,0.550000011920929,0.07999999821186066,IY,0.75
UW,AW,195,0.28999999165534973,IY,0.5899999737739563,0.3400000035762787,OW,0.46000000834465027,-0.25,UX,0.6100000143051147,-0.27000001072883606,UH,0.5600000023841858
AO,OY,6,0.0,CH,0.46000000834465027,0.0,AA,0.5199999809265137,0.0,OW,0.5199999809265137,-0.15000000596046448,EH,0.49000000953674316
SH,CH,160,0.03999999910593033,F,0.5699999928474426,0.3700000047683716,Y,0.7799999713897705,0.05000000074505806,S,0.5,0.5099999904632568,ZH,0.7200000286102295
R,-,69,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
AA,EH,2,0.3799999952316284,AY,0.6600000262260437,0.009999999776482582,AH,0.5400000214576721,-0.0,AH,0.6499999761581421,0.36000001430511475,OW,0.6700000166893005
AH,EH,28,-0.009999999776482582,IY,0.699999988079071,0.14000000059604645,IY,0.6800000071525574,-0.23000000417232513,AA,0.6499999761581421,-0.11999999731779099,IH,0.4000000059604645
AO,AH,320,-0.5099999904632568,CH,0.46000000834465027,0.28999999165534973,AA,0.5199999809265137,-0.0,OW,0.5199999809265137,-0.1599999964237213,EH,0.49000000953674316
