Phone1,Phone2,Count,CosineSimilarity_tamil_word2vec_,ClosestPhone_tamil_word2vec_,MaxSimilarity_tamil_word2vec_,CosineSimilarity_telugu_word2vec_,ClosestPhone_telugu_word2vec_,MaxSimilarity_telugu_word2vec_,CosineSimilarity_hindi_word2vec_,ClosestPhone_hindi_word2vec_,MaxSimilarity_hindi_word2vec_,CosineSimilarity_cmu_word2vec_,ClosestPhone_cmu_word2vec_,MaxSimilarity_cmu_word2vec_
T,CH,16,0.12999999523162842,W,0.4300000071525574,0.12999999523162842,W,0.4300000071525574,0.12999999523162842,W,0.4300000071525574,0.6499999761581421,TH,0.699999988079071
SH,IH,8,0.07999999821186066,M,0.36000001430511475,0.07999999821186066,M,0.36000001430511475,0.07999999821186066,M,0.36000001430511475,-0.03999999910593033,ZH,0.7099999785423279
IY,L,8,-0.07000000029802322,G,0.5400000214576721,-0.07000000029802322,G,0.5400000214576721,-0.07000000029802322,G,0.5400000214576721,0.029999999329447746,OW,0.6700000166893005
L,D,7,-0.30000001192092896,AO,0.49000000953674316,-0.30000001192092896,AO,0.49000000953674316,-0.30000001192092896,AO,0.49000000953674316,0.28999999165534973,R,0.6899999976158142
EH,AH,752,-0.20000000298023224,AE,0.3199999928474426,-0.20000000298023224,AE,0.3199999928474426,-0.20000000298023224,AE,0.3199999928474426,0.10999999940395355,AA,0.699999988079071
UW,UH,194,-0.18000000715255737,R_IH,0.44999998807907104,-0.18000000715255737,R_IH,0.44999998807907104,-0.18000000715255737,R_IH,0.44999998807907104,0.4300000071525574,V,0.46000000834465027
AO,-,107,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
EH,OY,54,0.0,AE,0.3199999928474426,0.0,AE,0.3199999928474426,0.0,AE,0.3199999928474426,0.17000000178813934,AA,0.699999988079071
EH,IH,206,0.009999999776482582,AE,0.3199999928474426,0.009999999776482582,AE,0.3199999928474426,0.009999999776482582,AE,0.3199999928474426,0.14000000059604645,AA,0.699999988079071
AH,-,648,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,ER,773,0.0,B_HH,0.46000000834465027,0.0,B_HH,0.46000000834465027,0.0,B_HH,0.46000000834465027,0.5099999904632568,L,0.6899999976158142
EH,-,143,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
D,-,242,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
ZH,EY,5,0.5099999904632568,EY,0.5099999904632568,0.5099999904632568,EY,0.5099999904632568,0.5099999904632568,EY,0.5099999904632568,0.23999999463558197,CH,0.8100000023841858
IY,JH,7,0.0,G,0.5400000214576721,0.0,G,0.5400000214576721,0.0,G,0.5400000214576721,0.33000001311302185,OW,0.6700000166893005
IY,IH,2356,0.03999999910593033,G,0.5400000214576721,0.03999999910593033,G,0.5400000214576721,0.03999999910593033,G,0.5400000214576721,0.12999999523162842,OW,0.6700000166893005
S,Z,560,0.09000000357627869,F,0.38999998569488525,0.09000000357627869,F,0.38999998569488525,0.09000000357627869,F,0.38999998569488525,0.2199999988079071,M,0.5199999809265137
AA,-,865,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
